sex,_len,_wfl_l,_wfl_m,_wfl_s
1,45,-0.352100015,2.440999985,0.091820002
1,45.01,-0.352100015,2.442670013,0.091814002
1,45.02,-0.352100015,2.444340042,0.091808002
1,45.03,-0.352100015,2.44601007,0.091802002
1,45.04,-0.352100015,2.447680098,0.091796001
1,45.05,-0.352100015,2.449350127,0.091790001
1,45.06,-0.352100015,2.451020155,0.091784001
1,45.07,-0.352100015,2.452690184,0.091778001
1,45.08,-0.352100015,2.454360212,0.091772001
1,45.09,-0.352100015,2.456030241,0.091766001
1,45.1,-0.352100015,2.457700269,0.091760001
1,45.11,-0.352100015,2.459370234,0.091754001
1,45.12,-0.352100015,2.461040198,0.091748002
1,45.13,-0.352100015,2.462710163,0.091742002
1,45.14,-0.352100015,2.464380128,0.091736002
1,45.15,-0.352100015,2.466050093,0.091730002
1,45.16,-0.352100015,2.467720057,0.091724002
1,45.17,-0.352100015,2.469390022,0.091718003
1,45.18,-0.352100015,2.471059987,0.091712003
1,45.19,-0.352100015,2.472729951,0.091706003
1,45.2,-0.352100015,2.474399916,0.091700003
1,45.21,-0.352100015,2.476069945,0.091694003
1,45.22,-0.352100015,2.477739973,0.091688003
1,45.23,-0.352100015,2.479410001,0.091682003
1,45.24,-0.352100015,2.48108003,0.091676003
1,45.25,-0.352100015,2.482750058,0.091670003
1,45.26,-0.352100015,2.484420087,0.091664003
1,45.27,-0.352100015,2.486090115,0.091658003
1,45.28,-0.352100015,2.487760143,0.091652003
1,45.29,-0.352100015,2.489430172,0.091646003
1,45.3,-0.352100015,2.4911002,0.091640003
1,45.31,-0.352100015,2.492770165,0.091635003
1,45.32,-0.352100015,2.49444013,0.091630003
1,45.33,-0.352100015,2.496110094,0.091625003
1,45.34,-0.352100015,2.497780059,0.091620003
1,45.35,-0.352100015,2.499450024,0.091615003
1,45.36,-0.352100015,2.501119989,0.091610003
1,45.37,-0.352100015,2.502789953,0.091605003
1,45.38,-0.352100015,2.504459918,0.091600003
1,45.39,-0.352100015,2.506129883,0.091595003
1,45.4,-0.352100015,2.507799847,0.091590003
1,45.41,-0.352100015,2.509459864,0.091584003
1,45.42,-0.352100015,2.511119878,0.091578003
1,45.43,-0.352100015,2.512779893,0.091572003
1,45.44,-0.352100015,2.514439908,0.091566003
1,45.45,-0.352100015,2.516099922,0.091560003
1,45.46,-0.352100015,2.517759937,0.091554003
1,45.47,-0.352100015,2.519419952,0.091548003
1,45.48,-0.352100015,2.521079966,0.091542003
1,45.49,-0.352100015,2.522739981,0.091536003
1,45.5,-0.352100015,2.524399996,0.091530003
1,45.51,-0.352100015,2.526070024,0.091524003
1,45.52,-0.352100015,2.527740053,0.091518003
1,45.53,-0.352100015,2.529410081,0.091512003
1,45.54,-0.352100015,2.53108011,0.091506003
1,45.55,-0.352100015,2.532750138,0.091500002
1,45.56,-0.352100015,2.534420166,0.091494002
1,45.57,-0.352100015,2.536090195,0.091488002
1,45.58,-0.352100015,2.537760223,0.091482002
1,45.59,-0.352100015,2.539430252,0.091476002
1,45.6,-0.352100015,2.54110028,0.091470002
1,45.61,-0.352100015,2.542770245,0.091464002
1,45.62,-0.352100015,2.544440209,0.091458003
1,45.63,-0.352100015,2.546110174,0.091452003
1,45.64,-0.352100015,2.547780139,0.091446003
1,45.65,-0.352100015,2.549450104,0.091440003
1,45.66,-0.352100015,2.551120068,0.091434003
1,45.67,-0.352100015,2.552790033,0.091428004
1,45.68,-0.352100015,2.554459998,0.091422004
1,45.69,-0.352100015,2.556129962,0.091416004
1,45.7,-0.352100015,2.557799927,0.091410004
1,45.71,-0.352100015,2.559459943,0.091404003
1,45.72,-0.352100015,2.561119957,0.091398003
1,45.73,-0.352100015,2.562779972,0.091392002
1,45.74,-0.352100015,2.564439987,0.091386001
1,45.75,-0.352100015,2.566100001,0.09138
1,45.76,-0.352100015,2.567760016,0.091373999
1,45.77,-0.352100015,2.569420031,0.091367999
1,45.78,-0.352100015,2.571080045,0.091361998
1,45.79,-0.352100015,2.57274006,0.091355997
1,45.8,-0.352100015,2.574400076,0.091349996
1,45.81,-0.352100015,2.57607004,0.091343996
1,45.82,-0.352100015,2.577740005,0.091337997
1,45.83,-0.352100015,2.57940997,0.091331997
1,45.84,-0.352100015,2.581079934,0.091325997
1,45.85,-0.352100015,2.582749899,0.091319997
1,45.86,-0.352100015,2.584419864,0.091313997
1,45.87,-0.352100015,2.586089829,0.091307998
1,45.88,-0.352100015,2.587759793,0.091301998
1,45.89,-0.352100015,2.589429758,0.091295998
1,45.9,-0.352100015,2.591099723,0.091289998
1,45.91,-0.352100015,2.592759763,0.091284998
1,45.92,-0.352100015,2.594419801,0.091279999
1,45.93,-0.352100015,2.59607984,0.091275
1,45.94,-0.352100015,2.597739878,0.09127
1,45.95,-0.352100015,2.599399917,0.091265001
1,45.96,-0.352100015,2.601059955,0.091260001
1,45.97,-0.352100015,2.602719994,0.091255002
1,45.98,-0.352100015,2.604380032,0.091250003
1,45.99,-0.352100015,2.606040071,0.091245003
1,46,-0.352100015,2.60770011,0.091240004
1,46.01,-0.352100015,2.609370114,0.091234003
1,46.02,-0.352100015,2.611040119,0.091228002
1,46.03,-0.352100015,2.612710123,0.091222001
1,46.04,-0.352100015,2.614380128,0.091216001
1,46.05,-0.352100015,2.616050132,0.09121
1,46.06,-0.352100015,2.617720137,0.091203999
1,46.07,-0.352100015,2.619390142,0.091197998
1,46.08,-0.352100015,2.621060146,0.091191997
1,46.09,-0.352100015,2.622730151,0.091185997
1,46.1,-0.352100015,2.624400155,0.091179996
1,46.11,-0.352100015,2.62607012,0.091173996
1,46.12,-0.352100015,2.627740085,0.091167996
1,46.13,-0.352100015,2.629410049,0.091161996
1,46.14,-0.352100015,2.631080014,0.091155997
1,46.15,-0.352100015,2.632749979,0.091149997
1,46.16,-0.352100015,2.634419944,0.091143997
1,46.17,-0.352100015,2.636089908,0.091137997
1,46.18,-0.352100015,2.637759873,0.091131997
1,46.19,-0.352100015,2.639429838,0.091125998
1,46.2,-0.352100015,2.641099802,0.091119998
1,46.21,-0.352100015,2.642769831,0.091113998
1,46.22,-0.352100015,2.644439859,0.091107998
1,46.23,-0.352100015,2.646109888,0.091101998
1,46.24,-0.352100015,2.647779916,0.091095998
1,46.25,-0.352100015,2.649449945,0.091089997
1,46.26,-0.352100015,2.651119973,0.091083997
1,46.27,-0.352100015,2.652790001,0.091077997
1,46.28,-0.352100015,2.65446003,0.091071997
1,46.29,-0.352100015,2.656130058,0.091065997
1,46.3,-0.352100015,2.657800087,0.091059997
1,46.31,-0.352100015,2.659470051,0.091053997
1,46.32,-0.352100015,2.661140016,0.091047998
1,46.33,-0.352100015,2.662809981,0.091041998
1,46.34,-0.352100015,2.664479946,0.091035998
1,46.35,-0.352100015,2.66614991,0.091029998
1,46.36,-0.352100015,2.667819875,0.091023998
1,46.37,-0.352100015,2.66948984,0.091017999
1,46.38,-0.352100015,2.671159804,0.091011999
1,46.39,-0.352100015,2.672829769,0.091005999
1,46.4,-0.352100015,2.674499734,0.090999999
1,46.41,-0.352100015,2.676179751,0.090993999
1,46.42,-0.352100015,2.677859769,0.090987999
1,46.43,-0.352100015,2.679539787,0.090981999
1,46.44,-0.352100015,2.681219805,0.090975999
1,46.45,-0.352100015,2.682899824,0.090969999
1,46.46,-0.352100015,2.684579842,0.090963999
1,46.47,-0.352100015,2.68625986,0.090957999
1,46.48,-0.352100015,2.687939879,0.090951999
1,46.49,-0.352100015,2.689619897,0.090945999
1,46.5,-0.352100015,2.691299915,0.090939999
1,46.51,-0.352100015,2.692979958,0.090933999
1,46.52,-0.352100015,2.69466,0.090927999
1,46.53,-0.352100015,2.696340042,0.090921999
1,46.54,-0.352100015,2.698020084,0.090915999
1,46.55,-0.352100015,2.699700126,0.090909998
1,46.56,-0.352100015,2.701380168,0.090903998
1,46.57,-0.352100015,2.70306021,0.090897998
1,46.58,-0.352100015,2.704740253,0.090891998
1,46.59,-0.352100015,2.706420295,0.090885998
1,46.6,-0.352100015,2.708100337,0.090879998
1,46.61,-0.352100015,2.709780291,0.090874998
1,46.62,-0.352100015,2.711460245,0.090869998
1,46.63,-0.352100015,2.7131402,0.090864998
1,46.64,-0.352100015,2.714820154,0.090859999
1,46.65,-0.352100015,2.716500108,0.090854999
1,46.66,-0.352100015,2.718180062,0.090849999
1,46.67,-0.352100015,2.719860016,0.090844999
1,46.68,-0.352100015,2.721539971,0.090839999
1,46.69,-0.352100015,2.723219925,0.090834999
1,46.7,-0.352100015,2.724899879,0.090829999
1,46.71,-0.352100015,2.726579897,0.090823999
1,46.72,-0.352100015,2.728259916,0.090817999
1,46.73,-0.352100015,2.729939934,0.090811999
1,46.74,-0.352100015,2.731619952,0.090805999
1,46.75,-0.352100015,2.733299971,0.090799999
1,46.76,-0.352100015,2.734979989,0.090793998
1,46.77,-0.352100015,2.736660007,0.090787998
1,46.78,-0.352100015,2.738340026,0.090781998
1,46.79,-0.352100015,2.740020044,0.090775998
1,46.8,-0.352100015,2.741700063,0.090769998
1,46.81,-0.352100015,2.743390031,0.090763999
1,46.82,-0.352100015,2.745079998,0.090757999
1,46.83,-0.352100015,2.746769966,0.090751999
1,46.84,-0.352100015,2.748459933,0.090745999
1,46.85,-0.352100015,2.750149901,0.090739999
1,46.86,-0.352100015,2.751839868,0.090733999
1,46.87,-0.352100015,2.753529836,0.090728
1,46.88,-0.352100015,2.755219804,0.090722
1,46.89,-0.352100015,2.756909771,0.090716
1,46.9,-0.352100015,2.758599739,0.09071
1,46.91,-0.352100015,2.760289771,0.090704
1,46.92,-0.352100015,2.761979803,0.090698
1,46.93,-0.352100015,2.763669835,0.090692
1,46.94,-0.352100015,2.765359867,0.090686
1,46.95,-0.352100015,2.767049899,0.09068
1,46.96,-0.352100015,2.768739931,0.090674
1,46.97,-0.352100015,2.770429963,0.090668
1,46.98,-0.352100015,2.772119995,0.090662
1,46.99,-0.352100015,2.773810027,0.090656
1,47,-0.352100015,2.775500059,0.09065
1,47.01,-0.352100015,2.777200081,0.090644
1,47.02,-0.352100015,2.778900103,0.090638
1,47.03,-0.352100015,2.780600125,0.090632
1,47.04,-0.352100015,2.782300147,0.090626
1,47.05,-0.352100015,2.784000169,0.09062
1,47.06,-0.352100015,2.785700191,0.090613999
1,47.07,-0.352100015,2.787400213,0.090607999
1,47.08,-0.352100015,2.789100235,0.090601999
1,47.09,-0.352100015,2.790800257,0.090595999
1,47.1,-0.352100015,2.792500279,0.090589999
1,47.11,-0.352100015,2.794200236,0.090583999
1,47.12,-0.352100015,2.795900193,0.090578
1,47.13,-0.352100015,2.79760015,0.090572
1,47.14,-0.352100015,2.799300107,0.090566
1,47.15,-0.352100015,2.801000064,0.09056
1,47.16,-0.352100015,2.802700021,0.090554
1,47.17,-0.352100015,2.804399978,0.090548001
1,47.18,-0.352100015,2.806099935,0.090542001
1,47.19,-0.352100015,2.807799892,0.090536001
1,47.2,-0.352100015,2.809499849,0.090530001
1,47.21,-0.352100015,2.811209884,0.090524001
1,47.22,-0.352100015,2.81291992,0.090518001
1,47.23,-0.352100015,2.814629956,0.090512001
1,47.24,-0.352100015,2.816339991,0.090506001
1,47.25,-0.352100015,2.818050027,0.090500001
1,47.26,-0.352100015,2.819760063,0.090494001
1,47.27,-0.352100015,2.821470098,0.090488001
1,47.28,-0.352100015,2.823180134,0.090482001
1,47.29,-0.352100015,2.82489017,0.090476001
1,47.3,-0.352100015,2.826600205,0.090470001
1,47.31,-0.352100015,2.828310152,0.090465001
1,47.32,-0.352100015,2.830020098,0.090460001
1,47.33,-0.352100015,2.831730045,0.090455001
1,47.34,-0.352100015,2.833439992,0.090450001
1,47.35,-0.352100015,2.835149938,0.090445001
1,47.36,-0.352100015,2.836859885,0.090440001
1,47.37,-0.352100015,2.838569831,0.090435001
1,47.38,-0.352100015,2.840279778,0.090430001
1,47.39,-0.352100015,2.841989725,0.090425001
1,47.4,-0.352100015,2.843699671,0.090420001
1,47.41,-0.352100015,2.845419695,0.090414001
1,47.42,-0.352100015,2.847139721,0.090408001
1,47.43,-0.352100015,2.848859746,0.090402001
1,47.44,-0.352100015,2.850579772,0.090396001
1,47.45,-0.352100015,2.852299797,0.090390001
1,47.46,-0.352100015,2.854019823,0.090384001
1,47.47,-0.352100015,2.855739849,0.090378001
1,47.48,-0.352100015,2.857459874,0.090372001
1,47.49,-0.352100015,2.8591799,0.090366001
1,47.5,-0.352100015,2.860899925,0.090360001
1,47.51,-0.352100015,2.862629965,0.090354001
1,47.52,-0.352100015,2.864360004,0.090348001
1,47.53,-0.352100015,2.866090043,0.090342001
1,47.54,-0.352100015,2.867820082,0.090336001
1,47.55,-0.352100015,2.869550122,0.090330001
1,47.56,-0.352100015,2.871280161,0.090324001
1,47.57,-0.352100015,2.8730102,0.090318
1,47.58,-0.352100015,2.87474024,0.090312
1,47.59,-0.352100015,2.876470279,0.090306
1,47.6,-0.352100015,2.878200318,0.0903
1,47.61,-0.352100015,2.879930268,0.090294001
1,47.62,-0.352100015,2.881660217,0.090288001
1,47.63,-0.352100015,2.883390167,0.090282001
